Trial ID,NCT ID,Trial Title,Trial Phase,Therapeutic Area,Disease,Trial Status,Sponsor,Start Date,End Date,Patient Segment,Countries
312793,NCT03626545,"A Randomized, Double-blind, Placebo-controlled, Phase III Study Evaluating the Efficacy and Safety of Canakinumab in Combination With Docetaxel Versus Placebo in Combination With Docetaxel in Adult Subjects With Non-small Cell Lung Cancer (NSCLC) Previously Treated With PD-(L)1 Inhibitors and Platinum-based Chemotherapy (CANOPY 2)",III,Oncology,"Oncology: Lung, Non-Small Cell",Completed,Novartis,23-01-2019,26-01-2022,"['Adenocarcinoma', ' Large Cell', ' Second line', ' Squamous Cell', ' Stage III', ' Stage IV', ' Third line']","['Argentina', ' Australia', ' Belgium', ' Brazil', ' Canada', ' Chile', ' China', ' Czech Republic', ' Denmark', ' France', ' Germany', ' Greece', ' Hungary', ' Israel', ' Italy', ' Japan', ' Jordan', ' Lebanon', ' Luxembourg', ' Netherlands', ' Poland', ' Russia', ' Singapore', ' South Korea', ' Spain', ' Taiwan, China', ' United States']"
312791,NCT03447769,"A Phase III, Multicenter, Randomized, Double Blind, Placebo-controlled Study Evaluating the Efficacy and Safety of Canakinumab Versus Placebo as Adjuvant Therapy in Adult Subjects with Stages AJCC/UICC v. 8 II -IIIA and IIIB (T>5cm N2) Completely Resected (R0) Non-small Cell Lung Cancer (NSCLC)",III,Oncology,"Oncology: Lung, Non-Small Cell",Open,Novartis,16-03-2018,18-02-2021,"['Adenocarcinoma', ' Adjuvant', ' Large Cell', ' Squamous Cell', ' Stage II', ' Stage III']","['Argentina', ' Australia', ' Austria', ' Belgium', ' Brazil', ' Bulgaria', ' Canada', ' Chile', ' China', ' Colombia', ' Costa Rica', ' Czech Republic', ' Egypt', ' France', ' Georgia', ' Germany', ' Greece', ' Guatemala', ' Hong Kong, S.A.R., China', ' Hungary', ' Iceland', ' India', ' Israel', ' Italy', ' Japan', ' Jordan', ' Lebanon', ' Malaysia', ' Mexico', ' Netherlands', ' New Zealand', ' Norway', ' Oman', ' Panama', ' Peru', ' Philippines', ' Poland', ' Portugal', ' Romania', ' Russia', ' Singapore', ' Slovakia', ' Slovenia', ' South Korea', ' Spain', ' Switzerland', ' Taiwan, China', ' Thailand', ' Turkey', ' United Arab Emirates', ' United Kingdom', ' United States', ' Vietnam']"
304898,NCT03358875,"A Phase III, Open-Label, Multicenter, Randomized Study to Investigate the Efficacy and Safety of BGB-A317 (Anti-PD1 Antibody) Compared With Docetaxel in Patients With Non-Small Cell Lung Cancer Who Have Progressed on a Prior Platinum-Containing Regimen.",I,Oncology,"Oncology: Lung, Non-Small Cell",Completed,"Bristol-Myers Squibb/Celgene
BeiGene
BeiGene/BeiGene (Shanghai) Co.
BeiGene/BeiGene USA",30-11-2017,22-07-2022,"['Adenocarcinoma', ' Large Cell', ' Second line', ' Squamous Cell', ' Stage III', ' Stage IV', ' Third line']","['Brazil', ' Bulgaria', ' China', ' Hungary', ' Latvia', ' Lithuania', ' Mexico', ' New Zealand', ' Poland', ' Russia', ' Slovakia', ' Turkey']"
303425,NCT03194893,"A Multicenter, International, Rollover Study of Alectinib in Patients with Anaplastic Lymphoma Kinase (ALK)-Positive or Rearranged during Transfection (RET)-Positive Cancer",I,Oncology,"Oncology: Lung, Non-Small Cell",Closed,Roche {F. Hoffmann-La Roche},05-07-2017,30-09-2021,"['ALK', ' Second line', ' Stage III', ' Stage IV']","['France', ' Hong Kong, S.A.R., China', ' Italy', ' Poland', ' Russia', ' South Korea', ' Spain', ' Taiwan, China', ' Turkey', ' United States']"
301480,NCT03150875,"Efficacy and Safety Evaluation of IBI308 Versus Docetaxel in Patients With Advanced or Metastatic Squamous Cell Lung Cancer After Failure of First-line Platinum-based Therapy- a Randomized, Open-label, Multicenter, Parallel, Phase III Study (ORIENT-3)",II,Oncology,"Oncology: Lung, Non-Small Cell",Completed,Innovent Biologics (Suzhou) Co.,25-05-2017,01-09-2019,"['Adenocarcinoma', ' Large Cell', ' Second line', ' Squamous Cell', ' Stage III', ' Stage IV']",['China']
292865,NCT02998528,"Randomized, Open-Label, Phase III Trial of Nivolumab Plus Ipilimumab or Nivolumab Plus Platinum Doublet Chemotherapy Versus Platinum Doublet Chemotherapy in Early Stage NSCLC",I,Oncology,"Oncology: Lung, Non-Small Cell",Completed,"Bristol-Myers Squibb
Ono Pharmaceutical",13-01-2017,08-10-2021,"['Adenocarcinoma', ' ALK', ' EGFR', ' Large Cell', ' Neoadjuvant', ' Squamous Cell', ' Stage I', ' Stage II', ' Stage III']","['Argentina', ' Brazil', ' Canada', ' China', ' France', ' Greece', ' Hungary', ' Ireland', ' Italy', ' Japan', ' Netherlands', ' Romania', ' South Africa', ' South Korea', ' Spain', ' Taiwan, China', ' Turkey', ' United Kingdom', ' United States']"
284265,NCT02864251,"Open-Label, Randomized Trial of Nivolumab (BMS-936558) Plus Pemetrexed/Platinum or Nivolumab Plus Ipilimumab (BMS-734016) vs Pemetrexed Plus Platinum in Stage IV or Recurrent Non-Small Cell Lung Cancer (NSCLC) Subjects With Epidermal Growth Factor Receptor (EGFR) Mutation, T790M Negative Who Failed 1L or 2L EGFR Tyrosine Kinase Inhibitor Therapy",II,Oncology,"Oncology: Lung, Non-Small Cell",Closed,"Bristol-Myers Squibb
Ono Pharmaceutical",17-03-2017,11-03-2022,"['EGFR', ' Second line', ' Stage III', ' Stage IV', ' Third line']","['China', ' France', ' Hong Kong, S.A.R., China', ' Japan', ' Singapore', ' South Korea', ' Spain', ' Taiwan, China', ' United States']"
281363,NCT02813785,"A Phase III, Open-Label, Multicenter, Randomized Study to Investigate the Efficacy and Safety of Atezolizumab (Anti-PD-L1 Antibody) Compared With Docetaxel in Patients With Non-Small Cell Lung Cancer After Failure With Platinum-Containing Chemotherapy",I,Oncology,"Oncology: Lung, Non-Small Cell",Completed,Roche {F. Hoffmann-La Roche},01-07-2016,23-02-2021,"['EGFR', ' Second line', ' Stage III', ' Stage IV']","['China', ' Malaysia', ' Singapore', ' South Korea', ' Thailand']"
277572,NCT03102606,"A Phase III, Multicenter, Randomized, Double Blind, Study to Evaluate Duration of Severe Neutropenia With Plinabulin Versus Pegfilgrastim in Patients With Solid Tumors Receiving Docetaxel Myelosuppressive Chemotherapy (PROTECTIVE 1).",III,Oncology,"Oncology: Breast; Oncology: Lung, Non-Small Cell; Oncology: Prostate; Oncology: Supportive Care",Completed,"BeyondSpring Pharmaceuticals
Dalian Wanchunbulin Pharmaceuticals
Pharmaceutics International",01-04-2017,14-07-2018,"['Fourth line or greater', ' Hormone refractory', ' Neutropenia', ' Second line', ' Stage III', ' Stage IV', ' Third line']","['China', ' Russia', ' Ukraine', ' United States']"
269945,NCT02973789,"LUNAR: Pivotal, Randomized, Open-label Study of Tumor Treating Fields (TTFields) Concurrent with Standard of Care Therapies for Treatment of Stage IV Non-small Cell Lung Cancer (NSCLC) Following Platinum Failure",I,Oncology,"Oncology: Lung, Non-Small Cell",Closed,Novocure,01-12-2016,07-10-2018,"['Adenocarcinoma', ' Large Cell', ' Second line', ' Squamous Cell', ' Stage IV']","['Austria', ' Belgium', ' Bulgaria', ' Canada', ' China', ' Croatia', ' Czech Republic', ' France', ' Germany', ' Hong Kong, S.A.R., China', ' Hungary', ' Italy', ' Netherlands', ' Poland', ' Serbia', ' Spain', ' Switzerland', ' United States']"
